Workshopname,Preis,Einheiten,Pole Studio,URL_E
Flying Pole mit Denys Zhygaltsov,"ab 55,00 €",1 Einheit,Pole and Move Ludwigshafen,https://www.eversports.de/e/workshop/ixC-WNj
Rock the Pole. A Trilogie. ,"ab 49,00 €",3 Einheiten,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/0u01Mza
Lapdance. A Trilogie. ,"ab 49,00 €",3 Einheiten,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/DBxar8u
Endless Spins mit lea,"ab 39,00 €",1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/GlPG304
"Heels ""What its worth"" mit Lea",Ausgebucht,1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/wj20M8W
Seductive Sunday  - Pole ,Ausgebucht,1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/113IYbR
Seductive Chairdance ,Ausgebucht,1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/vyTj8JR
Rock the Pole mit Emmy ,Ausgebucht,1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/GMeuKSV
Rock the Chair mit Emmy ,"ab 34,00 €",1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/461op6s
Rock the Floor mit Emmy ,Ausgebucht,1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/NrFmto0
Get your Shoulderstand - Floorworktechnik mit Becca,"ab 25,00 €",1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/km4K7Yv
"""Fummeln für Fortgeschrittene"" Pole choreo mit Jannah",Ausgebucht,1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/B2Sz3mv
"""Fummeln für Fortgeschrittene""  Chairdance Choreo mit Jannah","ab 34,00 €",1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/HhyMbSA
"""Fummeln für Fortgeschrittene"" Pole choreo mit Jannah",Ausgebucht,1 Einheit,Da Becca Flow and Fit,https://www.eversports.de/e/workshop/jJdILMv
EASTER SPECIAL - Power Pole | Corinna,"ab 25,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,https://www.eversports.de/e/workshop/1nKl3tW
EASTER SPECIAL - 5 Shapes to try | Chrissi,"ab 25,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,https://www.eversports.de/e/workshop/T4W36_s
EASTER SPECIAL - Acro Pole Fusion | Corinna,"ab 25,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,https://www.eversports.de/e/workshop/4UBPXcv
EASTER SPECIAL - Floorwork Flow Choreo | Corinna,"ab 30,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,https://www.eversports.de/e/workshop/JIRXZ-d
EASTER SPECIAL - Strip Plastic | Corinna,"ab 30,00 €",1 Einheit,CSS AERIAL DANCE STUDIO,https://www.eversports.de/e/workshop/MZYsjj7
Pole Dance Newbies - 4 Wochen Kurs,Ausgebucht,4 Einheiten,Cheesy Heaven,https://www.eversports.de/e/workshop/GZK4IEa
Aerial Hoop Newbies - 4 Wochen Kurs,"ab 60,00 €",4 Einheiten,Cheesy Heaven,https://www.eversports.de/e/workshop/JPGCNnm
Aerial Silk Newbies - 4 Wochen Kurs,"ab 60,00 €",4 Einheiten,Cheesy Heaven,https://www.eversports.de/e/workshop/Uh-BQlV
Fit & Flexy Workshops mit Janina,"ab 60,00 €",3 Einheiten,Cheesy Heaven,https://www.eversports.de/e/workshop/xgXsW0V
Pole Probetraining,"ab 17,00 €",1 Einheit,Flexx Arts - Aerial Dance & Fitness,https://www.eversports.de/e/workshop/BOoVP_a
Pole Probetraining,"ab 17,00 €",1 Einheit,Flexx Arts - Aerial Dance & Fitness,https://www.eversports.de/e/workshop/M_fy619
Sexy Floorwork Workshop,"ab 35,00 €",1 Einheit,poda Studio,https://www.eversports.de/e/workshop/9PbaXsNu8
Hip Hop Pole Choreo Workshop,"ab 35,00 €",1 Einheit,poda Studio,https://www.eversports.de/e/workshop/2f93D4_
High Heels Pole  - Beginner Workshop,"ab 35,00 €",1 Einheit,poda Studio,https://www.eversports.de/e/workshop/PvCEvqtn_
Aerial Yoga Workshop,"ab 35,00 €",1 Einheit,poda Studio,https://www.eversports.de/e/workshop/MkpHwj8
